row,timestamp,expected_scenario,expected_substate,expected_phase,expected_b1_block,expected_b2_pink,notes
27,03.09 04:00,V3,false_breakout,PH_4,FALSE,FALSE,H4=422 SQZ — BOTTOM reached direction pivot
28,03.09 08:00,V2,bearish_attempt,PH_4,FALSE,FALSE,H4=521 briefly but BBUpDn=4 not sustained
29,03.09 12:00,V3,false_breakout,PH_4,FALSE,FALSE,H4=522→523 back to shrink
30,03.09 16:00,V3,false_breakout,PH_4,TRUE,FALSE,M15 mid=4 blocks
31,03.09 20:00,V3,false_breakout,PH_4,FALSE,FALSE,H4=522→423 re-SQZ
32,03.10 04:00,V3,false_breakout,PH_4,FALSE,FALSE,H4=523 mid=3 at SQZ floor
33,03.10 08:00,V3,false_breakout,PH_4,FALSE,FALSE,H4=423 re-SQZ
34,03.10 12:00,V1,bullish_resolution,PH_5,FALSE,FALSE,H4=423→511 breakout D1-aligned; cas_sqzCount=2 (H4+M30) not pink
35,03.10 16:00,F1,bullish_fly,PH_5,FALSE,FALSE,H4=511 mid=5 — mid-TF SQZ present, M15/M5 flying — transient, not E-tier onset
36,03.10 20:00,F1,bullish_fly,PH_5,FALSE,FALSE,H4=511→512 fly UP D1 mid=1 — corrected: all fly, all bullish
37,03.11 04:00,F1,bullish_fly,PH_1,FALSE,FALSE,Recovery trend Phase 1 — cas_sqzCount=0, no confirmed compression, all fly → F1
38,03.11 08:00,B2,compression_release,PH_2,TRUE,FALSE,M15 mid=3 blocks; H1 in SQZ
39,03.11 12:00,S3,h1_shrink,PH_2,TRUE,FALSE,M15 mid=3 blocks; H1=513 shrink
40,03.11 16:00,S3,h1_onset,PH_3,FALSE,FALSE,H1=425 SQZ onset → S3 per Decision 5
41,03.11 20:00,F2,sideway_D1,PH_3,FALSE,FALSE,corrected: all fly, no compression, H1/M30/M15 opposing H4
42,03.12 04:00,F2,sideway_D1,PH_3,FALSE,FALSE,All fly, no compression — D1 counter only (corrected)
43,03.12 06:30,S1,compression_onset,PH_3,TRUE,FALSE,CLOSE BUY -191.29 / OPEN SELL; M15 mid=4 blocks; H1 never SQZ since 03.11 16:00, prev_h1_sqz=False, S-tier decoder (1,0)=S1
44,03.12 06:30,S1,compression_onset,PH_3,TRUE,FALSE,SELL entry counter-D1 (D1 mid=1 bullish); same as above
45,03.12 08:00,S1,compression_onset,PH_3,TRUE,FALSE,H1=522 not SQZ, prev_h1_sqz=False, S-tier decoder (1,0)=S1
46,03.12 12:00,C1,compression_late,PH_3,FALSE,FALSE,
47,03.12 15:15,C1,compression_late,PH_3,TRUE,FALSE,CLOSE SELL -16.53; M15 mid=3 blocks
48,03.12 16:00,C4,h4_shrink,PH_3B_INTO,FALSE,FALSE,H4=513 shrink cas_shrinkTF=4
49,03.12 20:00,C4,h4_shrink,PH_3B_INTO,FALSE,FALSE,
50,03.13 04:00,C4,h4_shrink,PH_3B_INTO,FALSE,FALSE,
51,03.13 08:00,C4,h4_shrink,PH_3B_INTO,TRUE,FALSE,M15 mid=3 blocks
52,03.13 12:00,S3,h1_shrink,PH_2,FALSE,FALSE,H4=521 bearish fly interlude
53,03.13 16:00,S3,h1_shrink,PH_2,FALSE,FALSE,
54,03.13 20:00,F2,sideway_D1,PH_2,FALSE,FALSE,All fly, no LTF compression — D1 shrink is HTF not LTF (corrected)
55,03.16 04:00,S3,h1_shrink,PH_2,FALSE,FALSE,
56,03.16 08:00,S3,h1_shrink,PH_2,TRUE,FALSE,M15 mid=3 blocks
57,03.16 12:00,F1,bearish_fly,PH_3,FALSE,FALSE,H4=522 fly-+ — corrected: all fly, all bearish aligned
58,03.16 16:00,C1,compression_late,PH_3,FALSE,FALSE,
59,03.16 20:00,S3,h1_onset,PH_3,FALSE,FALSE,H1=422 SQZ onset → S3 per Decision 5 (not F2)
60,03.17 04:00,C2,deep_compression,PH_3,FALSE,FALSE,cas_sqzCount=2 (H1=422+M15=425) not pink (M30 not SQZ)
61,03.17 08:00,F2,sideway_D1,PH_3,FALSE,FALSE,corrected: all fly, no compression, H1/M30/M15 opposing H4
62,03.17 12:00,C1,compression_late,PH_3,TRUE,FALSE,M15 mid=4 blocks
63,03.17 16:00,C1,compression_late,PH_3,FALSE,FALSE,
64,03.17 16:30,C1,compression_late,PH_3,TRUE,FALSE,SELL entry; M15 mid=4 blocks
65,03.17 19:30,C1,compression_late,PH_3,TRUE,FALSE,CLOSE SELL +8.01; M15 mid=4 blocks
66,03.17 20:00,C4,h4_shrink,PH_3B_INTO,FALSE,FALSE,H4=523 shrink
67,03.18 04:00,B1,compression_release,PH_5,TRUE,FALSE,M15 mid=3 blocks; cas_sqzCount=2 (H1+M30) not pink
68,03.18 08:00,C1,compression_late,PH_5,FALSE,FALSE,Established mid-TF SQZ (2+ bars) → C1 per Decision 6 (not F2)
69,03.18 12:00,B2,compression_release,PH_5,FALSE,FALSE,
70,03.18 16:00,F1,bearish_fly,PH_5,FALSE,FALSE,corrected: all fly, all bearish aligned
71,03.18 20:00,B3,compression_release,PH_5,FALSE,FALSE,
72,03.19 04:00,F1,bearish_fly,PH_1,FALSE,FALSE,D1 reverses to bearish (REVDN)
73,03.19 08:00,F1,bearish_fly,PH_1,FALSE,FALSE,
74,03.19 12:00,F1,bearish_fly,PH_1,FALSE,FALSE,H4 diffBBW=+135.2 expanding
75,03.19 16:00,F1,bearish_fly,PH_1,FALSE,FALSE,H4 diffBBW=+213.9 massive expansion
76,03.19 20:00,F1,bearish_fly,PH_1,FALSE,FALSE,
77,03.20 04:00,S1,compression_onset,PH_2,FALSE,FALSE,M30=411 SQZ onset early S1 signal
78,03.20 08:00,S1,compression_onset,PH_2,FALSE,FALSE,H1=403 SQZ deepening
